title,venue,volume,number,pages,publisher,year,type,access,key,doi,ee,url,authors
"Called Back Onstage: Dramaturgic Analysis, Domestic Social Robots, and Privacy.",Robophilosophy,,,325-334,,2022,Conference and Workshop Papers,closed,conf/robophilosophy/Coggins22,10.3233/FAIA220632,https://doi.org/10.3233/FAIA220632,https://dblp.org/rec/conf/robophilosophy/Coggins22,['Tom N. Coggins']
Privacy and Security Concerns in Edge Computing-Based Smart Cities.,Robotics and AI for Cybersecurity and Critical Infrastructure in Smart Cities,,,89-110,,2022,Parts in Books or Collections,closed,series/sci/KumarUMNYS22,10.1007/978-3-030-96737-6_5,https://doi.org/10.1007/978-3-030-96737-6_5,https://dblp.org/rec/series/sci/KumarUMNYS22,"['Ashutosh Kumar', 'Aditya Upadhyay', 'Neha Mishra', 'Srawan Nath', 'Kalu Ram Yadav', 'Gajanand Sharma']"
CONFIDANT: A Privacy Controller for Social Robots.,CoRR,abs/2201.02712,,,,2022,Informal and Other Publications,open,journals/corr/abs-2201-02712,,https://arxiv.org/abs/2201.02712,https://dblp.org/rec/journals/corr/abs-2201-02712,"['Brian Tang', 'Dakota Sullivan', 'Bengisu Cagiltay', 'Varun Chandrasekaran', 'Kassem Fawaz', 'Bilge Mutlu']"
Decentralized Robot Learning for Personalization and Privacy.,CoRR,abs/2201.05527,,,,2022,Informal and Other Publications,open,journals/corr/abs-2201-05527,,https://arxiv.org/abs/2201.05527,https://dblp.org/rec/journals/corr/abs-2201-05527,"['Luke Guerdan', 'Hatice Gunes']"
Customer Empowered Privacy-Preserving Secure Verification using Decentralized Identifier and Verifiable Credentials For Product Delivery Using Robots.,CoRR,abs/2208.06165,,,,2022,Informal and Other Publications,open,journals/corr/abs-2208-06165,10.48550/ARXIV.2208.06165,https://doi.org/10.48550/arXiv.2208.06165,https://dblp.org/rec/journals/corr/abs-2208-06165,['Chintan Patel']
Privacy-preserving image multi-classification deep learning model in robot system of industrial IoT.,Neural Comput. Appl.,33,10,4677-4694,,2021,Journal Articles,closed,journals/nca/ChenPZWH21,10.1007/S00521-020-05426-0,https://doi.org/10.1007/s00521-020-05426-0,https://dblp.org/rec/journals/nca/ChenPZWH21,"['Yange Chen', 'Yuan Ping', 'Zhili Zhang', 'Baocang Wang', 'SuYu He']"
Are You Watching Me? A Study on Privacy Notice Design of Social Robot.,AHFE,,,339-344,,2021,Conference and Workshop Papers,closed,conf/ahfe/SuY21,10.1007/978-3-030-79760-7_41,https://doi.org/10.1007/978-3-030-79760-7_41,https://dblp.org/rec/conf/ahfe/SuY21,"['Peng Su', 'Xiang Yuan']"
Privacy Behavior of the Elderly toward Caregiver Robots.,AMCIS,,,,,2021,Conference and Workshop Papers,closed,conf/amcis/AminKK21,,https://aisel.aisnet.org/amcis2021/info_security/info_security/12,https://dblp.org/rec/conf/amcis/AminKK21,"['M A. Shariful Amin', 'Chang Koh', 'Abhijeet Kumar']"
&quot;They See You&apos;re a Girl if You Pick a Pink Robot with a Skirt&quot;: A Qualitative Study of How Children Conceptualize Data Processing and Digital Privacy Risks.,CHI,,,687:1-687:34,,2021,Conference and Workshop Papers,closed,conf/chi/SunSASGRS21,10.1145/3411764.3445333,https://doi.org/10.1145/3411764.3445333,https://dblp.org/rec/conf/chi/SunSASGRS21,"['Kaiwen Sun', 'Carlo Sugatan', 'Tanisha Afnan', 'Hayley Simon', 'Susan A. Gelman', 'Jenny S. Radesky', 'Florian Schaub']"
Designing and Validating a Blockchain-based Architecture to Enforce Privacy in Human Robot Interaction.,HICSS,,,1-10,,2021,Conference and Workshop Papers,open,conf/hicss/VasylkovskyiGS21,,https://hdl.handle.net/10125/70680,https://dblp.org/rec/conf/hicss/VasylkovskyiGS21,"['Viktor Vasylkovskyi', 'Sérgio Guerreiro 0001', 'João Sequeira 0001']"
Privacy-Preserving and Auditable Federated Deep Reinforcement Learning for Robotic Manipulation.,NSS,,,314-325,,2021,Conference and Workshop Papers,closed,conf/nss/ZhuL21,10.1007/978-3-030-92708-0_20,https://doi.org/10.1007/978-3-030-92708-0_20,https://dblp.org/rec/conf/nss/ZhuL21,"['Xudong Zhu', 'Hui Li 0006']"
Designing a System Based on Robotic Assistance for Privacy Awareness in Smart Environments.,UEMCON,,,427-432,,2021,Conference and Workshop Papers,closed,conf/uemcom/GeorgievskiJK21,10.1109/UEMCON53757.2021.9666672,https://doi.org/10.1109/UEMCON53757.2021.9666672,https://dblp.org/rec/conf/uemcom/GeorgievskiJK21,"['Ilche Georgievski', 'Isaac Henderson Johnson Jeyakumar', 'Shrilesh Kale']"
Towards Privacy-Preserving Ego-Motion Estimation Using an Extremely Low-Resolution Camera.,IEEE Robotics Autom. Lett.,5,2,1223-1230,,2020,Journal Articles,closed,journals/ral/ShariatiHS20,10.1109/LRA.2020.2967307,https://doi.org/10.1109/LRA.2020.2967307,https://dblp.org/rec/journals/ral/ShariatiHS20,"['Armon Shariati', 'Christian Holz 0001', 'Sudipta N. Sinha']"
BlockRobot: Increasing Privacy in Human Robot Interaction by Using Blockchain.,Blockchain,,,106-115,,2020,Conference and Workshop Papers,closed,conf/blockchain2/VasylkovskyiGS20,10.1109/BLOCKCHAIN50366.2020.00021,https://doi.org/10.1109/Blockchain50366.2020.00021,https://dblp.org/rec/conf/blockchain2/VasylkovskyiGS20,"['Viktor Vasylkovskyi', 'Sérgio Guerreiro 0001', 'João Silva Sequeira 0001']"
How do People Perceive Privacy and Interaction Quality while Chatting with a Crowd-operated Robot?,HRI,,,84-86,,2020,Conference and Workshop Papers,closed,conf/hri/AbbasCKGBM20,10.1145/3371382.3378332,https://doi.org/10.1145/3371382.3378332,https://dblp.org/rec/conf/hri/AbbasCKGBM20,"['Tahir Abbas', 'Giovanni Corpaccioli', 'Vassilis-Javed Khan', 'Ujwal Gadiraju', 'Emilia I. Barakova', 'Panos Markopoulos 0001']"
Enhancing Privacy in Robotics via Judicious Sensor Selection.,ICRA,,,7156-7165,,2020,Conference and Workshop Papers,closed,conf/icra/EickA20,10.1109/ICRA40945.2020.9196983,https://doi.org/10.1109/ICRA40945.2020.9196983,https://dblp.org/rec/conf/icra/EickA20,"['Stephen Eick', 'Annie I. Antón']"
Artificial Empathy for Clinical Companion Robots with Privacy-By-Design.,MobiHealth,,,351-361,,2020,Conference and Workshop Papers,closed,conf/mobihealth/MartinVH20,10.1007/978-3-030-70569-5_23,https://doi.org/10.1007/978-3-030-70569-5_23,https://dblp.org/rec/conf/mobihealth/MartinVH20,"['Miguel Vargas Martin', 'Eduardo Pérez Valle', 'Sheri Horsburgh']"
Do Privacy Concerns Prevent Employees&apos; Acceptance of Smart Wearables and Collaborative Robots?,Sicherheit,,,141-146,,2020,Conference and Workshop Papers,open,conf/sicherheit/Richter20,10.18420/SICHERHEIT2020_14,https://doi.org/10.18420/sicherheit2020_14,https://dblp.org/rec/conf/sicherheit/Richter20,['Alexander Richter']
A Privacy Filter Framework for Internet of Robotic Things Applications.,SP,,,262-267,,2020,Conference and Workshop Papers,closed,conf/sp/Alsulaimawi20,10.1109/SPW50608.2020.00059,https://doi.org/10.1109/SPW50608.2020.00059,https://dblp.org/rec/conf/sp/Alsulaimawi20,['Zahir Alsulaimawi']
Privacy at Home: an Inquiry into Sensors and Robots for the Stay at Home Elderly.,CoRR,abs/2003.11432,,,,2020,Informal and Other Publications,open,journals/corr/abs-2003-11432,,https://arxiv.org/abs/2003.11432,https://dblp.org/rec/journals/corr/abs-2003-11432,"['Trenton Schulz', 'Jo Herstad', 'Harald Holone']"
Privacy-Preserving Dynamic Average Consensus via State Decomposition: Case Study on Multi-Robot Formation Control.,CoRR,abs/2008.03182,,,,2020,Informal and Other Publications,open,journals/corr/abs-2008-03182,,https://arxiv.org/abs/2008.03182,https://dblp.org/rec/journals/corr/abs-2008-03182,"['Kaixiang Zhang 0001', 'Zhaojian Li', 'Yongqiang Wang 0001', 'Ali Louati', 'Jian Chen 0005']"
Privacy-Preserving Pose Estimation for Human-Robot Interaction.,CoRR,abs/2011.07387,,,,2020,Informal and Other Publications,open,journals/corr/abs-2011-07387,,https://arxiv.org/abs/2011.07387,https://dblp.org/rec/journals/corr/abs-2011-07387,"['Youya Xia', 'Yifan Tang', 'Yuhan Hu', 'Guy Hoffman']"
Comparative legal study on privacy and personal data protection for robots equipped with artificial intelligence: looking at functional and technological aspects.,AI Soc.,34,3,509-533,,2019,Journal Articles,closed,journals/ais/Ishii19,10.1007/S00146-017-0758-8,https://doi.org/10.1007/s00146-017-0758-8,https://dblp.org/rec/journals/ais/Ishii19,['Kaori Ishii']
Complete characterization of a class of privacy-preserving tracking problems.,Int. J. Robotics Res.,38,2-3,,,2019,Journal Articles,closed,journals/ijrr/ZhangS19,10.1177/0278364918772025,https://doi.org/10.1177/0278364918772025,https://dblp.org/rec/journals/ijrr/ZhangS19,"['Yulin Zhang 0001', 'Dylan A. Shell']"
Trust-Driven Privacy in Human-Robot Interactions.,ACC,,,5234-5239,,2019,Conference and Workshop Papers,closed,conf/amcc/HaleSF19,10.23919/ACC.2019.8815004,https://doi.org/10.23919/ACC.2019.8815004,https://dblp.org/rec/conf/amcc/HaleSF19,"['Matthew T. Hale', 'Tina Setter', 'Kingsley Fregene']"
Coordinated multi-robot planning while preserving individual privacy.,ICRA,,,2188-2194,,2019,Conference and Workshop Papers,closed,conf/icra/LiBBAS19,10.1109/ICRA.2019.8794460,https://doi.org/10.1109/ICRA.2019.8794460,https://dblp.org/rec/conf/icra/LiBBAS19,"['Li Li 0101', 'Alfredo Bayuelo', 'Leonardo Bobadilla', 'Tauhidul Alam', 'Dylan A. Shell']"
Privacy-Preserving Robot Vision with Anonymized Faces by Extreme Low Resolution.,IROS,,,462-467,,2019,Conference and Workshop Papers,closed,conf/iros/KimLYR19,10.1109/IROS40897.2019.8967681,https://doi.org/10.1109/IROS40897.2019.8967681,https://dblp.org/rec/conf/iros/KimLYR19,"['Myeung Un Kim', 'Harim Lee', 'Hyun Jong Yang', 'Michael S. Ryoo']"
Privacy First: Designing Responsible and Inclusive Social Robot Applications for in the Wild Studies.,RO-MAN,,,1-8,,2019,Conference and Workshop Papers,closed,conf/ro-man/TonkinVH0MKVJW19,10.1109/RO-MAN46459.2019.8956461,https://doi.org/10.1109/RO-MAN46459.2019.8956461,https://dblp.org/rec/conf/ro-man/TonkinVH0MKVJW19,"['Meg Tonkin', 'Jonathan Vitale', 'Sarita Herse', 'Syed Ali Raza 0002', 'Srinivas Madhisetty', 'Le Kang', 'The Duc Vu', 'Benjamin Johnston', 'Mary-Anne Williams']"
Privacy Concerns in Robot Teleoperation: Does Personality Influence What Should Be Hidden?,ICSR,,,719-729,,2019,Conference and Workshop Papers,closed,conf/socrob/BalaliSSG19,10.1007/978-3-030-35888-4_67,https://doi.org/10.1007/978-3-030-35888-4_67,https://dblp.org/rec/conf/socrob/BalaliSSG19,"['Sogol Balali', 'Ross T. Sowell', 'William D. Smart', 'Cindy M. Grimm']"
ROS-Defender: SDN-Based Security Policy Enforcement for Robotic Applications.,IEEE Symposium on Security and Privacy Workshops,,,114-119,,2019,Conference and Workshop Papers,closed,conf/sp/RiveraLNBS19,10.1109/SPW.2019.00030,https://doi.org/10.1109/SPW.2019.00030,https://dblp.org/rec/conf/sp/RiveraLNBS19,"['Sean Rivera', 'Sofiane Lagraa', 'Cristina Nita-Rotaru', 'Sheila Becker', 'Radu State']"
Resilience of Multi-robot Systems to Physical Masquerade Attacks.,IEEE Symposium on Security and Privacy Workshops,,,120-125,,2019,Conference and Workshop Papers,closed,conf/sp/WardegaTL19,10.1109/SPW.2019.00031,https://doi.org/10.1109/SPW.2019.00031,https://dblp.org/rec/conf/sp/WardegaTL19,"['Kacper Wardega', 'Roberto Tron', 'Wenchao Li 0001']"
Federated Imitation Learning: A Privacy Considered Imitation Learning Framework for Cloud Robotic Systems with Heterogeneous Sensor Data.,CoRR,abs/1909.00895,,,,2019,Informal and Other Publications,open,journals/corr/abs-1909-00895,,http://arxiv.org/abs/1909.00895,https://dblp.org/rec/journals/corr/abs-1909-00895,"['Boyi Liu', 'Lujia Wang 0001', 'Ming Liu 0001', 'Cheng-Zhong Xu 0001']"
Framing Effects on Privacy Concerns about a Home Telepresence Robot.,CoRR,abs/1911.04643,,,,2019,Informal and Other Publications,open,journals/corr/abs-1911-04643,,http://arxiv.org/abs/1911.04643,https://dblp.org/rec/journals/corr/abs-1911-04643,"['Matthew Rueben', 'Frank J. Bernieri', 'Cindy M. Grimm', 'William D. Smart']"
Privacy in Control and Dynamical Systems.,Annu. Rev. Control. Robotics Auton. Syst.,1,,309-332,,2018,Journal Articles,closed,journals/arcras/0002P18,10.1146/ANNUREV-CONTROL-060117-105018,https://doi.org/10.1146/annurev-control-060117-105018,https://dblp.org/rec/journals/arcras/0002P18,"['Shuo Han 0002', 'George J. Pappas']"
Themes and Research Directions in Privacy-Sensitive Robotics.,ARSO,,,77-84,,2018,Conference and Workshop Papers,closed,conf/arso/RuebenALSCCAS18,10.1109/ARSO.2018.8625758,https://doi.org/10.1109/ARSO.2018.8625758,https://dblp.org/rec/conf/arso/RuebenALSCCAS18,"['Matthew Rueben', 'Alexander Mois Aroyo', 'Christoph Lutz', 'Johannes Schmölz', 'Pieter Van Cleynenbreugel', 'Andrea Corti', 'Siddharth Agrawal', 'William D. Smart']"
Privacy at Home: An Inquiry into Sensors and Robots for the Stay at Home Elderly.,HCI,,,377-394,,2018,Conference and Workshop Papers,closed,conf/hci/SchulzHH18,10.1007/978-3-319-92037-5_28,https://doi.org/10.1007/978-3-319-92037-5_28,https://dblp.org/rec/conf/hci/SchulzHH18,"['Trenton Schulz', 'Jo Herstad', 'Harald Holone']"
Be More Transparent and Users Will Like You: A Robot Privacy and User Experience Design Experiment.,HRI,,,379-387,,2018,Conference and Workshop Papers,closed,conf/hri/VitaleTHOCWWJ18,10.1145/3171221.3171269,https://doi.org/10.1145/3171221.3171269,https://dblp.org/rec/conf/hri/VitaleTHOCWWJ18,"['Jonathan Vitale', 'Meg Tonkin', 'Sarita Herse', 'Suman Ojha', 'Jesse Clark', 'Mary-Anne Williams', 'Xun Wang 0006', 'William Judge']"
Me and My Robot - Sharing Information with a New Friend.,Privacy and Identity Management,,,189-204,,2018,Conference and Workshop Papers,closed,conf/primelife/HeuerSG18,10.1007/978-3-030-16744-8_13,https://doi.org/10.1007/978-3-030-16744-8_13,https://dblp.org/rec/conf/primelife/HeuerSG18,"['Tanja Heuer', 'Ina Schiering', 'Reinhard Gerndt']"
"&quot;I spy, with my little sensor&quot;: fair data handling practices for robots between privacy, copyright and security.",Connect. Sci.,29,3,200-209,,2017,Journal Articles,closed,journals/connection/SchaferE17,10.1080/09540091.2017.1318356,https://doi.org/10.1080/09540091.2017.1318356,https://dblp.org/rec/journals/connection/SchaferE17,"['Burkhard Schafer 0001', 'Lilian Edwards']"
Distributed mapping with privacy and communication constraints: Lightweight algorithms and object-based models.,Int. J. Robotics Res.,36,12,1286-1311,,2017,Journal Articles,closed,journals/ijrr/ChoudharyCNRCD17,10.1177/0278364917732640,https://doi.org/10.1177/0278364917732640,https://dblp.org/rec/journals/ijrr/ChoudharyCNRCD17,"['Siddharth Choudhary', 'Luca Carlone', 'Carlos Nieto-Granda', 'John G. Rogers III', 'Henrik I. Christensen', 'Frank Dellaert']"
"Information Security, Privacy, and Trust in Social Robotic Assistants for Older Adults.",HCI,,,90-109,,2017,Conference and Workshop Papers,closed,conf/hci/Given-WilsonLS17,10.1007/978-3-319-58460-7_7,https://doi.org/10.1007/978-3-319-58460-7_7,https://dblp.org/rec/conf/hci/Given-WilsonLS17,"['Thomas Given-Wilson', 'Axel Legay', 'Sean Sedwards']"
Privacy and Telepresence Robotics: What do Non-scientists Think?,HRI,,,175-176,,2017,Conference and Workshop Papers,closed,conf/hri/KruppRGS17,10.1145/3029798.3038384,https://doi.org/10.1145/3029798.3038384,https://dblp.org/rec/conf/hri/KruppRGS17,"['Margaret Mary Krupp', 'Matthew Rueben', 'Cindy M. Grimm', 'William D. Smart']"
Framing Effects on Privacy Concerns about a Home Telepresence Robot.,HRI,,,435-444,,2017,Conference and Workshop Papers,closed,conf/hri/RuebenBGS17,10.1145/2909824.3020218,https://doi.org/10.1145/2909824.3020218,https://dblp.org/rec/conf/hri/RuebenBGS17,"['Matthew Rueben', 'Frank J. Bernieri', 'Cindy M. Grimm', 'William D. Smart']"
Privacy-Sensitive Robotics.,HRI,,,425-426,,2017,Conference and Workshop Papers,closed,conf/hri/RuebenSGC17,10.1145/3029798.3029805,https://doi.org/10.1145/3029798.3029805,https://dblp.org/rec/conf/hri/RuebenSGC17,"['Matthew Rueben', 'William D. Smart', 'Cindy M. Grimm', 'Maya Cakmak']"
From the Glass House to the Hive: The Private Sphere in the Era of Intelligent Home Assistant Robots.,Privacy and Identity Management,,,282-298,,2017,Conference and Workshop Papers,closed,conf/primelife/Conca17,10.1007/978-3-319-92925-5_19,https://doi.org/10.1007/978-3-319-92925-5_19,https://dblp.org/rec/conf/primelife/Conca17,['Silvia De Conca']
A focus group study of privacy concerns about telepresence robots.,RO-MAN,,,1451-1458,,2017,Conference and Workshop Papers,closed,conf/ro-man/KruppRGS17,10.1109/ROMAN.2017.8172495,https://doi.org/10.1109/ROMAN.2017.8172495,https://dblp.org/rec/conf/ro-man/KruppRGS17,"['Margaret Mary Krupp', 'Matthew Rueben', 'Cindy M. Grimm', 'William D. Smart']"
"A Telepresence Robot in Residential Care: Family Increasingly Present, Personnel Worried About Privacy.",ICSR,,,85-94,,2017,Conference and Workshop Papers,closed,conf/socrob/NiemelaATA17,10.1007/978-3-319-70022-9_9,https://doi.org/10.1007/978-3-319-70022-9_9,https://dblp.org/rec/conf/socrob/NiemelaATA17,"['Marketta Niemelä', 'Lina van Aerschot', 'Antti Tammela', 'Iina Aaltonen']"
"Embodiment, Privacy and Social Robots: May I Remember You?",ICSR,,,506-515,,2017,Conference and Workshop Papers,closed,conf/socrob/TonkinVOCPJWW17,10.1007/978-3-319-70022-9_50,https://doi.org/10.1007/978-3-319-70022-9_50,https://dblp.org/rec/conf/socrob/TonkinVOCPJWW17,"['Meg Tonkin', 'Jonathan Vitale', 'Suman Ojha', 'Jesse Clark', 'Sammy Pfeiffer', 'William Judge', 'Xun Wang 0006', 'Mary-Anne Williams']"
An Experimental Security Analysis of an Industrial Robot Controller.,IEEE Symposium on Security and Privacy,,,268-286,,2017,Conference and Workshop Papers,closed,conf/sp/QuartaPPMZZ17,10.1109/SP.2017.20,https://doi.org/10.1109/SP.2017.20,https://dblp.org/rec/conf/sp/QuartaPPMZZ17,"['Davide Quarta', 'Marcello Pogliani', 'Mario Polino', 'Federico Maggi 0001', 'Andrea Maria Zanchettin', 'Stefano Zanero']"
A Macroscopic Model for Differential Privacy in Dynamic Robotic Networks.,CoRR,abs/1703.04797,,,,2017,Informal and Other Publications,open,journals/corr/Prorok017a,,http://arxiv.org/abs/1703.04797,https://dblp.org/rec/journals/corr/Prorok017a,"['Amanda Prorok', 'Vijay Kumar 0001']"
These aren&apos;t the autonomous drones you&apos;re looking for: investigating privacy concerns through concept videos.,J. Hum. Robot Interact.,5,3,26-54,,2016,Journal Articles,closed,journals/thri/WongM16,10.5898/JHRI.5.3.WONG,https://doi.org/10.5898/JHRI.5.3.Wong,https://dblp.org/rec/journals/thri/WongM16,"['Richmond Y. Wong', 'Deirdre K. Mulligan']"
A Macroscopic Privacy Model for Heterogeneous Robot Swarms.,ANTS Conference,,,15-27,,2016,Conference and Workshop Papers,closed,conf/antsw/Prorok016,10.1007/978-3-319-44427-7_2,https://doi.org/10.1007/978-3-319-44427-7_2,https://dblp.org/rec/conf/antsw/Prorok016,"['Amanda Prorok', 'Vijay Kumar 0001']"
Detection of privacy-sensitive situations for social robots in smart homes.,CASE,,,727-732,,2016,Conference and Workshop Papers,closed,conf/case/FernandesYDS16,10.1109/COASE.2016.7743474,https://doi.org/10.1109/COASE.2016.7743474,https://dblp.org/rec/conf/case/FernandesYDS16,"['Francisco Erivaldo Fernandes Junior', 'Guanci Yang', 'Ha Manh Do', 'Weihua Sheng']"
User Feedback on Physical Marker Interfaces for Protecting Visual Privacy from Mobile Robots.,HRI,,,507-508,,2016,Conference and Workshop Papers,closed,conf/hri/RuebenBGS16,10.1109/HRI.2016.7451829,https://doi.org/10.1109/HRI.2016.7451829,https://dblp.org/rec/conf/hri/RuebenBGS16,"['Matthew Rueben', 'Frank J. Bernieri', 'Cindy M. Grimm', 'William D. Smart']"
Evaluation of physical marker interfaces for protecting visual privacy from mobile robots.,RO-MAN,,,787-794,,2016,Conference and Workshop Papers,closed,conf/ro-man/RuebenBGS16,10.1109/ROMAN.2016.7745209,https://doi.org/10.1109/ROMAN.2016.7745209,https://dblp.org/rec/conf/ro-man/RuebenBGS16,"['Matthew Rueben', 'Frank J. Bernieri', 'Cindy M. Grimm', 'William D. Smart']"
"Social Robots, Privacy, and Ownership of Data: Some Problems and Suggestions.",Robophilosophy/TRANSOR,,,190-191,,2016,Conference and Workshop Papers,closed,conf/robophilosophy/Nus16,10.3233/978-1-61499-708-5-190,https://doi.org/10.3233/978-1-61499-708-5-190,https://dblp.org/rec/conf/robophilosophy/Nus16,['Myrthe van Nus']
Designing Commercial Therapeutic Robots for Privacy Preserving Systems and Ethical Research Practices within the Home.,CoRR,abs/1606.04033,,,,2016,Informal and Other Publications,open,journals/corr/SedenbergCM16,,http://arxiv.org/abs/1606.04033,https://dblp.org/rec/journals/corr/SedenbergCM16,"['Elaine Sedenberg', 'John Chuang', 'Deirdre K. Mulligan']"
Neural network-based ideation learning for intelligent agents: e-brainstorming with privacy preferences.,Int. J. Comput. Vis. Robotics,5,3,231-253,,2015,Journal Articles,closed,journals/ijcvr/ManjuP15,10.1504/IJCVR.2015.071329,https://doi.org/10.1504/IJCVR.2015.071329,https://dblp.org/rec/journals/ijcvr/ManjuP15,"['S. Manju', 'M. Punithavalli']"
The Privacy-Utility Tradeoff for Remotely Teleoperated Robots.,HRI,,,27-34,,2015,Conference and Workshop Papers,closed,conf/hri/ButlerHRC15,10.1145/2696454.2696484,https://doi.org/10.1145/2696454.2696484,https://dblp.org/rec/conf/hri/ButlerHRC15,"['Daniel J. Butler', 'Justin Huang', 'Franziska Roesner', 'Maya Cakmak']"
"RoboCode-Ethicists: Privacy-friendly robots, an ethical responsibility of engineers?",NS Ethics@SIGCOMM,,,27-28,,2015,Conference and Workshop Papers,closed,conf/sigcomm/LutzT15,10.1145/2793013.2793022,https://doi.org/10.1145/2793013.2793022,https://dblp.org/rec/conf/sigcomm/LutzT15,"['Christoph Lutz', 'Aurelia Tamò']"
"RoboCode-Ethicists: Privacy-friendly robots, an ethical responsibility of engineers?",WebSci,,,21:1-21:12,,2015,Conference and Workshop Papers,closed,conf/websci/LutzT15,10.1145/2786451.2786465,https://doi.org/10.1145/2786451.2786465,https://dblp.org/rec/conf/websci/LutzT15,"['Christoph Lutz', 'Aurelia Tamò']"
Morphological gender recognition by a social robot and privacy concerns: late breaking reports.,HRI,,,272-273,,2014,Conference and Workshop Papers,closed,conf/hri/RameyS14,10.1145/2559636.2563714,https://doi.org/10.1145/2559636.2563714,https://dblp.org/rec/conf/hri/RameyS14,"['Arnaud A. Ramey', 'Miguel Angel Salichs']"
Robots in the cloud with privacy: A new threat to data protection?,Comput. Law Secur. Rev.,29,5,501-508,,2013,Journal Articles,closed,journals/clsr/Pagallo13,10.1016/J.CLSR.2013.07.012,https://doi.org/10.1016/j.clsr.2013.07.012,https://dblp.org/rec/journals/clsr/Pagallo13,['Ugo Pagallo']
The effect of monitoring by cameras and robots on the privacy enhancing behaviors of older adults.,HRI,,,343-350,,2012,Conference and Workshop Papers,closed,conf/hri/CaineSC12,10.1145/2157689.2157807,https://doi.org/10.1145/2157689.2157807,https://dblp.org/rec/conf/hri/CaineSC12,"['Kelly Caine', 'Selma Sabanovic', 'Mary Carter']"
Issues of privacy and electronic personhood in robotics.,RO-MAN,,,815-820,,2012,Conference and Workshop Papers,closed,conf/ro-man/GuntherMBLLL12,10.1109/ROMAN.2012.6343852,https://doi.org/10.1109/ROMAN.2012.6343852,https://dblp.org/rec/conf/ro-man/GuntherMBLLL12,"['Jan-Philipp Günther', 'Florian Münch', 'Susanne Beatrix Beck', 'Severin Löffler', 'Christophe Leroux', 'Roberto Labruto']"
Using an autonomous robot to maintain privacy in assistive environments.,Secur. Commun. Networks,4,11,1275-1293,,2011,Journal Articles,closed,journals/scn/ArmbrustMRKB11,10.1002/SEC.253,https://doi.org/10.1002/sec.253,https://dblp.org/rec/journals/scn/ArmbrustMRKB11,"['Christopher Armbrust', 'Syed Atif Mehdi', 'Max Reichardt', 'Jan Koch', 'Karsten Berns']"
Understanding users&apos; perception of privacy in human-robot interaction.,HRI,,,181-182,,2011,Conference and Workshop Papers,closed,conf/hri/LeeTFK11,10.1145/1957656.1957721,https://doi.org/10.1145/1957656.1957721,https://dblp.org/rec/conf/hri/LeeTFK11,"['Min Kyung Lee', 'Karen P. Tang', 'Jodi Forlizzi', 'Sara B. Kiesler']"
A spotlight on security and privacy risks with future household robots: attacks and lessons.,UbiComp,,,105-114,,2009,Conference and Workshop Papers,closed,conf/huc/DenningMKSK09,10.1145/1620545.1620564,https://doi.org/10.1145/1620545.1620564,https://dblp.org/rec/conf/huc/DenningMKSK09,"['Tamara Denning', 'Cynthia Matuszek', 'Karl Koscher', 'Joshua R. Smith 0001', 'Tadayoshi Kohno']"
